,smiles,6vww_pocket108,name,6vww_pocket9,6vww_pocket100,6vww_pocket22,6vww_pocket154,6vww_pocket18,6vww_pocket57,6vww_pocket143,6vww_pocket3,6vww_pocket157,6vww_pocket37,6vww_pocket1,6vww_pocket13,6vww_pocket6,6vww_pocket17,6vww_pocket130,6vww_pocket23,6vww_pocket71,6vww_pocket62,6vww_pocket135,6vww_pocket11,6vww_pocket156,6vww_pocket8
0,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,7.973358631134032,DB-2990,7.894379138946532,11.697052001953125,8.256654739379883,5.036333084106445,9.317870140075684,11.768976211547852,7.741126537322997,7.809628963470459,10.566898345947266,6.550993919372559,7.905840873718263,11.836358070373535,11.87200927734375,9.18826675415039,6.776249408721924,8.170352935791017,8.086972236633299,11.599090576171875,2.368166208267212,9.366832733154297,4.659489154815674,8.01593017578125
1,COC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@H](n2cc(/C=C/Br)c(=O)[nH]c2=O)C[C@@H]1O)Oc1ccccc1,3.2399082183837886,DB-4549,6.363866329193115,9.711323738098145,1.847740888595581,1.0447449684143066,3.691408634185791,9.733373641967773,3.5244028568267822,1.5151071548461914,1.922933340072632,2.69266128540039,3.8042654991149902,6.413663864135742,8.649127006530763,4.158696174621582,2.5629665851593018,2.1161696910858154,3.123091697692871,10.181869506835938,-0.0,3.9675447940826416,1.6560013294219968,2.815577983856201
2,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)cc1/C=C/Br,7.367074489593506,DB-4036,8.411404609680176,11.365660667419435,8.946195602416992,5.477689743041992,8.92587661743164,11.166366577148438,7.7121076583862305,8.765984535217285,12.123226165771484,6.5927557945251465,8.998459815979004,11.190067291259766,11.368630409240724,9.376612663269043,7.077512264251709,9.094866752624512,7.41488790512085,11.108715057373047,-0.0,9.267502784729004,6.280097961425781,8.29622745513916
3,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)cc1/C=C/Br,6.6087589263916025,DB-8193,7.754110336303711,12.075878143310547,8.483436584472656,5.872841835021973,9.953641891479492,11.882393836975098,7.004618167877197,9.076258659362793,9.47036838531494,7.055087089538574,8.949710845947266,11.163219451904297,10.416230201721193,9.80163860321045,7.176796913146973,8.647722244262695,6.6509623527526855,11.613006591796875,2.091611623764038,9.91354751586914,5.72487211227417,9.167594909667967
4,C=C(Br)CC1(C(C)C)C(=O)NC(=O)N(C)C1=O,4.707817554473877,DB-9189,5.6307106018066415,8.70489501953125,6.935169219970702,3.2737042903900133,7.780488967895508,8.000059127807617,4.784277439117432,5.9845499992370605,7.135516166687013,6.798509120941162,6.074486255645753,7.938673496246338,8.626367568969728,7.593463897705077,5.199393272399902,7.0017738342285165,4.809021949768066,8.44343376159668,-0.0,7.7462501525878915,3.806807041168213,6.1949825286865225
5,CC(C)C(Br)C(=O)NC(N)=O,5.4409942626953125,DB-9316,6.8020267486572275,8.236603736877441,7.361236572265625,5.287912368774414,6.897552013397218,8.221561431884767,5.582871913909912,6.057541370391848,6.79108190536499,6.3457794189453125,6.748610496520996,7.71827507019043,7.738979339599607,7.212443828582764,5.421316146850586,7.382573127746582,5.724411964416504,8.256054878234862,5.949262619018555,7.349978446960449,5.317937850952148,6.8150129318237305
6,NC1=NC(=O)C([C@H]2CCNC(=O)C3=NC(Br)=C[C@H]32)=N1,5.444681167602539,DB-2647,6.029533863067628,10.243537902832033,6.922930717468263,4.123230457305908,8.426919937133789,10.18779182434082,5.489467144012451,6.932675361633301,8.04712963104248,6.991443634033202,8.066677093505861,7.085803031921388,10.138263702392578,8.165834426879883,5.87006139755249,6.968348979949951,5.537942409515381,10.233575820922852,-0.0,7.78273868560791,3.9552304744720463,7.976585388183594
7,O=C(CBr)N1CC([N+](=O)[O-])([N+](=O)[O-])C1,4.452319145202637,DB-8245,5.083353042602539,6.972745895385742,5.200932502746582,3.164833068847656,6.163435459136963,6.951616287231445,4.271998882293701,3.9493808746337886,4.270729064941406,5.1478309631347665,4.16987943649292,6.092619895935059,7.020758628845215,6.007845401763916,4.745219707489014,5.175436973571777,4.357977867126465,6.988896369934082,1.4143370389938354,6.076383590698242,3.210773468017578,4.223490715026856
8,O=C(CBr)NCCC(=O)N[C@@H](CO)C(=O)NCCc1ccc(NC(=O)C(=O)O)cc1,5.4527130126953125,DB-2491,5.89134693145752,6.589644908905027,8.524044990539549,3.8298046588897705,5.401007652282715,7.0977983474731445,5.699140548706055,4.354184150695802,6.55457878112793,4.4340553283691415,7.001391410827638,6.422763347625732,7.329091072082519,7.489825248718263,5.764409065246582,8.606611251831055,5.458690643310547,6.986005783081055,-0.0,7.1263179779052725,2.3049733638763428,6.789862632751465
9,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,4.82388162612915,DB-132,6.780792236328125,8.074661254882812,6.703801155090332,4.11968469619751,6.2504210472106925,8.193205833435059,4.5024824142456055,5.12615966796875,4.5147976875305185,4.707526206970215,5.31257438659668,7.721627712249756,7.979139804840088,6.134742736816406,4.68834400177002,6.706123352050781,4.671489238739014,8.105981826782228,2.588219165802002,6.361173152923584,3.660391092300415,5.395695209503174
